id,sample,lat,long
1,"2204",56.5003218117669,105.251078306436
,"2205",56.4982040080758,105.249641694667
,"2206",56.4958924337822,105.252052081476
,"2207",56.4939814726815,105.254209547294
,"2203",56.4955679932605,105.260986166494
,"2202",56.4946815549648,105.257150353054
,"22104",56.4925450739767,105.254497791887
,"22105",56.4895455907578,105.256583776362
,"22106",56.4869525809719,105.258438206728
,"2208",56.4843844158319,105.259654439946
,"2209",56.4814651366494,105.259932270739
,"22132",56.4796745175269,105.282293832006
,"22107",56.4743936248252,105.264732345406
,"2210",56.4720126002979,105.266459389263
,"22131",56.4757637013283,105.283838467329
,"22129",56.4724953902678,105.292489738943
,"22130",56.4721256665402,105.289552510542
,"22128",56.4737333986121,105.296496996562
,"22127",56.4747599539993,105.30029019376
,"22126",56.4760455137533,105.30400060353
,"22125",56.4769774783222,105.307878535154
,"22124",56.4783151825036,105.311823784804
,"22123",56.4794353096727,105.315661167338
,"22122",56.4806026115044,105.319414099238
,"22121",56.4822767055581,105.327340365082
,"22120",56.4811839491529,105.331116797773
,"22119",56.4805134886273,105.335364637521
,"22118",56.47979673818,105.339271627009
,"22117",56.4788474248286,105.34211299816
,22117-1,56.4773313755174,105.34558708625
,"22116",56.4753112932155,105.344080147974
,"22115",56.4704981291451,105.343951563209
,22115-2,56.4704744739347,105.343993874909
,"22114",56.4656740162328,105.343525273088
,"2212",56.4603472440877,105.264783430285
,"22109",56.4584822497116,105.256183023533
,"2211",56.4568510167085,105.248095105038
,"22108",56.4653286385246,105.274193687168
,"2216",56.4648809546488,105.274403057258
,"22113",56.4648811425479,105.274318020197
,"2232",56.5053449526363,105.313216118597
,"2231",56.5041451199732,105.322187063192
,"2230",56.5037217119058,105.331036523277
,"2229",56.5034640635296,105.339291397354
,"2228",56.5036297759649,105.34746490938
,"2227",56.5024290581193,105.355881074163
,"2226",56.5010996876305,105.363827318231
,"2225",56.4977608086501,105.370604335054
,"2224",56.4944476795009,105.376529371195
,"2223",56.4898500224393,105.379079216934
,"2222",56.4855517430725,105.379929753769
,"2221",56.4798489372257,105.382084656947
,"2220",56.4749543456013,105.383566591948
,"2219",56.469918674854,105.383090569745
,"2218",56.4647010840147,105.384356133993
,"2217",56.4620592298541,105.386157649358
,"2215",56.4605592286548,105.42040919618
,"2214",56.4567132973235,105.416158193508
,"2213",56.4525606676761,105.412074756846
,"22112",56.4559990487076,105.372386866895
,"22111",56.4570589074965,105.364235196706
,"22110",56.4581421345702,105.355955758722
